canonical_name,entity_name,similarity_score,count,group_id
Georgina Moody Trust,Georgina Maree Moody Trust,86.95652173913044,1,3069
GPT group shares,GPT group shares,100.0,1,3071
GPT group shares,APA group share,83.87096774193549,1,3071
GPT GROUP SHARES,GPT GROUP SHARES,100.0,1,3073
GPT GROUP SHARES,APA GROUP SHARES,87.5,1,3073
GPT GROUP SHARES,DUET GROUP SHARES,84.84848484848484,1,3074
GPRIX and Elbrook Offshore Fund,GPRIX and Elbrook Offshore Fund,100.0,1,3076
GPRIX and Elbrook Offshore Fund,Elbrook Offshore Fund,80.76923076923077,1,3076
GOLDMAN-SACHS CASH TRUST,GOLDMAN-SACHS CASH TRUST,100.0,1,3078
GOLDMAN-SACHS CASH TRUST,GOLDMAN SACHS CASH TRUST,95.83333333333334,1,3078
GB Pearce Investments ATF GB Pearce Super Fund,GB Pearce Investments ATF GB Pearce Super Fund,100.0,1,3080
GB Pearce Investments ATF GB Pearce Super Fund,GB Pearce Investment ATF GB Pearce Super Fund,98.9010989010989,1,3080
G & A Richardson,G & A Richardson,100.0,1,3082
G & A Richardson,36 Richardson & CO,82.35294117647058,1,3082
Friends of Israel WA,Friends of Israel WA,100.0,1,3084
Friends of Israel WA,Friends of Israel (WA),80.95238095238095,1,3084
Fremantle Tennis Club,Fremantle Tennis Club,100.0,1,3086
Fremantle Tennis Club,Fremantle Lawn Tennis Club,89.36170212765957,1,3086
Frankston RSL,Frankston RSL,100.0,1,3088
Frankston RSL,Bankstown RSL,84.61538461538461,1,3088
Foxtel/ASTRA,Foxtel/ASTRA,100.0,1,3090
Foxtel/ASTRA,ASTRA (Foxtel),84.61538461538461,1,3090
Fox Sports News,Fox Sports News,100.0,1,3092
Fox Sports News,Fox Sports,80.0,1,3092
Fletcher Building Ltd,Fletcher Building Ltd,100.0,1,3094
Fletcher Building Ltd,Fletcher Building,89.47368421052632,1,3094
Fitzgerald Memorial Aged Care Facility Ltd,Fitzgerald Memorial Aged Care Facility Ltd,100.0,1,3096
Fitzgerald Memorial Aged Care Facility Ltd,Fitzgerald Memorial Aged Care,81.69014084507043,1,3096
Festival organisers,Festival organisers,100.0,1,3098
Festival organisers,Festival Organisers,94.73684210526316,1,3098
"Fellow, Australian Academy of Health and Medical Sciences","Fellow, Australian Academy of Health and Medical Sciences",100.0,1,3100
"Fellow, Australian Academy of Health and Medical Sciences",Australia Academy of Heath and Medical Sciences,90.38461538461539,1,3100
FOGs (Former Origin Greats),FOGs (Former Origin Greats),100.0,1,3102
FOGs (Former Origin Greats),FOGS (Former Origin Greats),96.2962962962963,1,3102
FIAT.MI,FIAT.MI,100.0,1,3104
