Name,Party,Electorate,Parliament,Start_Year,End_Year,scraped_date
Mal Brough,Liberal National Party,Fisher,44,2013,2016,2025-03-23
Anna Burke,Australian Labor Party,Chisholm,44,2013,2016,2025-03-23
Terri Butler [a],Australian Labor Party,Griffith,44,2013,2016,2025-03-23
Bronwyn Bishop,Liberal Party of Australia,Mackellar,44,2013,2016,2025-03-23
Jamie Briggs,Liberal Party of Australia,Mayo,44,2013,2016,2025-03-23
Bob Baldwin,Liberal Party of Australia,Paterson,44,2013,2016,2025-03-23
Bruce Billson,Liberal Party of Australia,Dunkley,44,2013,2016,2025-03-23
Andrew Hastie [b],Liberal Party of Australia,Canning,44,2013,2016,2025-03-23
Peter Hendy,Liberal Party of Australia,Eden-Monaro,44,2013,2016,2025-03-23
Joe Hockey [c],Liberal Party of Australia,North Sydney,44,2013,2016,2025-03-23
Gary Gray,Australian Labor Party,Brand,44,2013,2016,2025-03-23
Alan Griffin,Australian Labor Party,Bruce,44,2013,2016,2025-03-23
Natasha Griggs,Country Liberal,Solomon,44,2013,2016,2025-03-23
Jill Hall,Australian Labor Party,Shortland,44,2013,2016,2025-03-23
David Feeney,Australian Labor Party,Batman,44,2013,2016,2025-03-23
Laurie Ferguson,Australian Labor Party,Werriwa,44,2013,2016,2025-03-23
Teresa Gambaro,Liberal National Party,Brisbane,44,2013,2016,2025-03-23
Karen McNamara,Liberal Party of Australia,Dobell,44,2013,2016,2025-03-23
Andrew Nikolic,Liberal Party of Australia,Bass,44,2013,2016,2025-03-23
Ian Macfarlane,Liberal National Party,Groom,44,2013,2016,2025-03-23
Alannah MacTiernan,Australian Labor Party,Perth,44,2013,2016,2025-03-23
Louise Markus,Liberal Party of Australia,Macquarie,44,2013,2016,2025-03-23
Russell Matheson,Liberal Party of Australia,Macarthur,44,2013,2016,2025-03-23
Eric Hutchinson,Liberal Party of Australia,Lyons,44,2013,2016,2025-03-23
Dennis Jensen,Liberal/Independent,Tangney,44,2013,2016,2025-03-23
Ewen Jones,Liberal National Party,Herbert,44,2013,2016,2025-03-23
Bruce Scott,Liberal National Party,Maranoa,44,2013,2016,2025-03-23
Fiona Scott,Liberal Party of Australia,Lindsay,44,2013,2016,2025-03-23
Luke Simpkins,Liberal Party of Australia,Cowan,44,2013,2016,2025-03-23
Andrew Southcott,Liberal Party of Australia,Boothby,44,2013,2016,2025-03-23
Bernie Ripoll,Australian Labor Party,Oxley,44,2013,2016,2025-03-23
Andrew Robb,Liberal Party of Australia,Goldstein,44,2013,2016,2025-03-23
Wyatt Roy,Liberal National Party,Longman,44,2013,2016,2025-03-23
Kevin Rudd [a],Australian Labor Party,Griffith,44,2013,2016,2025-03-23
